🐦️自用多多,#genre#
Q124553340,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao13_2/index.m3u8?BR=td&region=shanghai
备用,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_237787110&response=res&format=mp4|mkv&type=convert_url
备用0,https://vd2.bdstatic.com/mda-ndpg29kxui1g1xrj/sc/cae_h264_delogo/1650799724379445533/mda-ndpg29kxui1g1xrj.mp4
备用1,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao01_2/index.m3u8
备用2,http://52bsj.vip:81/api/v3/file/get/97712/%E4%B8%96%E7%95%8C%E7%AC%AC%E4%B8%80%E7%AD%891080P.mp4?sign=yfyEXgwHSQyoHzhqxAr-bxqgEtzxwmitGkOVfWPDKIY%3D%3A0
备用3,http://52bsj.vip:81/api/v3/file/get/97713/ba22f6ad1be11c9679f19bc8d866da15.mp4?sign=7T4la_UuJ8JzHAVur7ltNQwo6MqSkg5lQ6u2yh3XjOU%3D%3A0
备用4,http://52bsj.vip:81/api/v3/file/get/129476/%E4%B8%8D%E5%86%8D%E7%8A%B9%E8%B1%AB.mp4?sign=_66lUNcLugM2-NZQdw7NltkhoYm4wsBEHLxF8dbuUN8%3D%3A0

🇨🇳央视频道,#genre#
CCTV1,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw3831204341_1349411946/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115080246&ContentId=265183188&timezone=UTC&mtv_session=01b97ad3f1d61532d8f0d40578ee3f47&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ac6f75650a73ab06efc36233598f26b8
CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000

CCTV1,https://cntv.sbs/tv?auth=230813&id=cctv1
CCTV2,https://cntv.sbs/tv?auth=230813&id=cctv2
CCTV3,https://cntv.sbs/tv?auth=230813&id=cctv3
CCTV4,https://cntv.sbs/tv?auth=230813&id=cctv4
CCTV5,https://cntv.sbs/tv?auth=230813&id=cctv5
CCTV5+,https://cntv.sbs/tv?auth=230813&id=cctv5p
CCTV6,https://cntv.sbs/tv?auth=230813&id=cctv6
CCTV7,https://cntv.sbs/tv?auth=230813&id=cctv7
CCTV8,https://cntv.sbs/tv?auth=230813&id=cctv8
CCTV9,https://cntv.sbs/tv?auth=230813&id=cctv9
CCTV10,https://cntv.sbs/tv?auth=230813&id=cctv10
CCTV11,https://cntv.sbs/tv?auth=230813&id=cctv11
CCTV12,https://cntv.sbs/tv?auth=230813&id=cctv12
CCTV13,https://cntv.sbs/tv?auth=230813&id=cctv13
CCTV14,https://cntv.sbs/tv?auth=230813&id=cctv14
CCTV15,https://cntv.sbs/tv?auth=230813&id=cctv15
CCTV16,https://cntv.sbs/tv?auth=230813&id=cctv16
CCTV16 4K,https://cntv.sbs/tv?auth=230813&id=cctv164k
CCTV17,https://cntv.sbs/tv?auth=230813&id=cctv17
CCTV4K,https://cntv.sbs/tv?auth=230813&id=cctv4k
CGTN,https://cntv.sbs/tv?auth=230813&id=cgtn

CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225501/2/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225618/2/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225630/2/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225642/2/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225918/2/index.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225500/2/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225619/2/index.m3u8
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225634/2/index.m3u8
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV5+,http://live.cooltv.top/tv/aishang.php?id=cctv5p
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv164k4K
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd


CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV1,http://218.29.55.44:808/hls/1/index.m3u8
CCTV1,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8



CCTV2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
